№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
97,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Не закрыто,F1HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
98,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Не открыто,F2HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
99,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Не закрыто,F2HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
100,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Неисправность,F2HHG20AA801XC03,потенциальный контакт,=24В,ПС,
101,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Готовность,F2HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
102,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Не открыто,F2HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
103,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Не закрыто,F2HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
104,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Не открыто,F3HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
105,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Не закрыто,F3HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
106,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Неисправность,F3HHG20AA801XC03,потенциальный контакт,=24В,ПС,
107,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Готовность,F3HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
108,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Не открыто,F3HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
109,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Не закрыто,F3HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
110,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Не открыто,F4HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
111,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Не закрыто,F4HHG20AA801XB52,потенциальный контакт,=24В,"АР,ДУ",
112,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Неисправность,F4HHG20AA801XC03,потенциальный контакт,=24В,ПС,
113,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Готовность,F4HHG20AA801XC04,потенциальный контакт,=24В,"АР,ДУ",
114,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Не открыто,F4HHG20AA201XB51,потенциальный контакт,"220В, 50Гц",ДУ,
115,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Не закрыто,F4HHG20AA201XB52,потенциальный контакт,"220В, 50Гц",ДУ,
116,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Не открыто,F5HHG20AA801XB51,потенциальный контакт,=24В,"АР,ДУ",
