,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
160,173,N1NDC04AA001XB05,Затвор дисковый Т-16 на всасе СН №4,превышение момента на открытие,ДУ,
161,174,N1NDC04AA001XB06,Затвор дисковый Т-16 на всасе СН №4,превышение момента на закрытие,ДУ,
162,175,N1NDC04AA001XL01,Затвор дисковый Т-16 на всасе СН №4,Дистанционный режим работы,ДУ,
163,178,отключен,Затвор дисковый Т-16 на всасе СН №4,Автоматический выключатель,ПС,
164,179,Не открыто,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
165,180,Не закрыто,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
166,181,превышение момента на открытие,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
167,182,превышение момента на закрытие,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
168,183,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
169,184,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
170,185,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ДУ,
171,186,Автоматический выключатель,Затвор дисковый Т-17 на напоре СН,N1NDC04AA002,ПС,
172,187,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
173,188,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
174,189,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
175,190,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
176,191,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
177,192,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
178,193,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ДУ,
179,194,N1NDB20AA001,Затвор дисковый секционирующий Т-,теплообменники,ПС,
180,195,Не открыто,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
181,196,Не закрыто,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
182,197,превышение момента,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
183,198,Неисправность,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
184,199,Готовность,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ДУ,
185,200,Автоматический выключатель,Регулирующий клапан РДТА-1 на,N1NDB21AA801,ПС,
186,201,Не открыто,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
187,202,Не закрыто,Регулирующий клапан РДТА-2 на,N1NDB22AA801,ДУ,
